courseName,universityName,facultyName,isItFullTime,description,startDate,fees,modality,duration,city,country,administration,url,description_lemmatized,courseName_lemmatized,universityName_lemmatized,city_lemmatized,fees_USD
Global Management of Natural Resources MSc,University College London,Department of Chemical Engineering,['Full Time'],"Register your interest in graduate study at UCLMore than ever, there is a growing demand for versatile specialists and managers in the globalised natural resources and commodities industries. These industries rely on effective collaboration between scientists, engineers, analysts, managers, and investors. This programme gives students the opportunity to develop an integrated understanding of resource genesis, production, supply, socio-environmental footprint and sustainable practice, which is now essential.About this degreeWhy the GMNR",September,"Full time - £21,200",MSc,1 year full time,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/global-management-of-natural-resources-msc/?i274d1825c42126,regist interest graduat studi uclmor ever grow demand versatil specialist manag globalis natur resourc commod industri industri reli effect collabor scientist engin analyst manag investor programm give student opportun develop integr understand resourc genesi product suppli socioenvironment footprint sustain practic essentialabout degreewhi gmnr,global manag natur resourc msc,univers colleg london,london,16819.44
Construction Project Management - PgDip/PgCert/MSc,Oxford Brookes University,School of the Built Environment,"['Full Time', 'Part Time', 'Online']","Our MSc in Construction Project Management (CPM) meets the challenging demands of the modern learner and the evolving needs of built environment professionals.We have strong links with prominent companies in the sector, such as:MaceWillmott DixonBAM Construction.We consult with these companies to ensure course content remains relevant for the modern construction manager. The also provide advice on existing and proposed courses of study, research activities and consultancy work.You will work on problems that the construction industry, clients and consultants experience. In doing so you will develop a broad range of management skills and knowledge including:","September, January","Home (UK) full time - £10,800 Home (UK) part time - £5,400 Home (UK) distance learning - £5.400 International full time - £16,500 International distance learning - £8,250","PGDip,MSc,PGCert","1 year full time, 2 years part time (Sept start), 17 months full time, 29 months part time (Jan start)",Oxford,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/construction-project-management-pgdip-pgcert-msc/?i188d7496c44987,msc construct project manag cpm meet challeng demand modern learner evolv need built environ professionalsw strong link promin compani sector asmacewillmott dixonbam constructionw consult compani ensur cours content remain relev modern construct manag also provid advic exist propos cours studi research activ consult workyou work problem construct industri client consult experi develop broad rang manag skill knowledg includ,construct project manag pgdippgcertmsc,oxford brook univers,oxford,13090.6
Genes in Behaviour and Health (Research Master) MSc,Vrije Universiteit Amsterdam,Faculty of Behavioural and Movement Sciences,['Full Time'],"Nature and nurture: how do they interact and correlate? Is health and wellbeing in our genes or is the environment the most important source of differences between people? And can we use DNA to predict our health?Both twin studies and molecular genetic studies have highlighted the influence of our genetic code on behaviour and health. To adequately understand and influence behaviour and health, we need to increase our knowledge of the way our genes play their part, by themselves and when interacting with our environment.The interplay of genes and",September,"EU/EER Student: €2,209 NON-EU Student: €12,840","Research Only,MSc",2 years full time,Amsterdam,Netherlands,On Campus,https://www.findamasters.com/masters-degrees/course/genes-in-behaviour-and-health-research-master-msc/?i384d8543c63142,natur nurtur interact correl health wellb gene environ import sourc differ peopl use dna predict healthboth twin studi molecular genet studi highlight influenc genet code behaviour health adequ understand influenc behaviour health need increas knowledg way gene play part interact environmentth interplay gene,gene behaviour health research master msc,vrije universiteit amsterdam,amsterdam,11735.89
MSc in Anthropology and Development Studies,Radboud University,Behavioural and Social Sciences,['Full Time'],How do grassroots initiatives by refugees impact upon the practice and policies of local governments? How can we make the transition to renewable energies inclusive for diverse groups in society? How does the Black Lives Matter-movement take shape and come to be expressed in culturally diverse societies worldwide? During the Master in Anthropology and Development studies you dive into the processes that play a role in social transformation related to diversity and inequality in complex and diverse worlds. You develop into a thorough researcher who knows how to optimize the impact of research findings.﻿Discover our campus and get information on our English-taught programmes during our in-person Master’s Open Day on 23,September,"The legal tuition for the 2024-2025 academic year is €2.530,- and is applicable to EU/EEA, Swiss or Surinamese students who have not yet obtained a Master's degree in the Netherlands. Our tuition fee for non-EU/EEA students is €17.470 ,-.",MSc,1 year full time,Nijmegen,Netherlands,On Campus,https://www.findamasters.com/masters-degrees/course/msc-in-anthropology-and-development-studies/?i196d8503c22709,grassroot initi refuge impact upon practic polici local govern make transit renew energi inclus divers group societi black live mattermov take shape come express cultur divers societi worldwid master anthropolog develop studi dive process play role social transform relat divers inequ complex divers world develop thorough research know optim impact research findings﻿discov campu get inform englishtaught programm inperson master ’ open day 23,msc anthropolog develop studi,radboud univers,nijmegen,15.97
International Real Estate and Planning MSc,University College London,The Bartlett School of Planning,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLThis programme offers a unique focus on the relationship between real estate, the property development process and the planning systems of Europe and beyond. It explores the systems through which urban development operates and considers market mechanisms from the standpoint of investors, developers and occupiers of buildings, and the relationship of markets and policy at various geographical levels.About this degreeThe programme equips students with theoretical and practical preparation to practise across international boundaries in real estate fields (including property market appraisal, analysis, investment and development), planning and urban policy.",September,"Full time - £18,000 Part time - £9,000",MSc,"1 year full time, 2 years part time, 5 years flexible",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/international-real-estate-and-planning-msc/?i274d3505c20004,regist interest graduat studi uclthi programm offer uniqu focu relationship real estat properti develop process plan system europ beyond explor system urban develop oper consid market mechan standpoint investor develop occupi build relationship market polici variou geograph levelsabout degreeth programm equip student theoret practic prepar practis across intern boundari real estat field includ properti market apprais analysi invest develop plan urban polici,intern real estat plan msc,univers colleg london,london,14280.66
MSc in Data Science & Artificial Intelligence Strategy,Emlyon Business School,Graduate Programmes,['Full Time'],"ProgramThe aim of this program is to fill in the gap between business and engineer higher education in AI, by providing leaders with an action-oriented approach to master fundamental technological practices, together with a concrete understanding of human and business impacts. The program combines experiential and academic activities to learn how to think, to design and to deploy AI applications inline with a responsible data governance, business strategy and transparent practices.In response to the extensive recruitment needs of the continuously growing AI-driven strategies and practices, this program gives you the opportunity to acquire key competencies by understanding, experiencing and doing",September,"€24,900 This tuition and fee charges are in effect for the 2023-2024 academic year and are subject to change for future years. All indicated fees include tuition, enrolment fees, academic expenses, and lifelong membership of emlyon business school alumni network.",MSc,18 months,Lyon,France,On Campus,https://www.findamasters.com/masters-degrees/course/msc-in-data-science-and-artificial-intelligence-strategy/?i75d5385c67318,programth aim program fill gap busi engin higher educ ai provid leader actionori approach master fundament technolog practic togeth concret understand human busi impact program combin experienti academ activ learn think design deploy ai applic inlin respons data govern busi strategi transpar practicesin respons extens recruit need continu grow aidriven strategi practic program give opportun acquir key compet understand experienc,msc data scienc artifici intellig strategi,emlyon busi school,lyon,22758.85
Construction Management and International Development,University of Reading,School of Construction Management & Engineering,"['Full Time', 'Part Time']","Apply for this programmeExplore how building and infrastructure projects can be sustainably delivered in developing and emerging economies with our MSc Construction Management and International Development programme.This interdisciplinary master’s course underscores the complexity of sustainable development, and focuses on development in countries undergoing rapid urbanisation.Working with academics from our School of Construction Management and Engineering, you will learn how to manage construction programmes for sustainable development. You will also learn how to apply sustainable development principles in an integrated and holistic way across scales – from buildings, to neighbourhoods, to cities.",September,"New UK/Republic of Ireland students: £12,550  New international students: £26,950",MSc,"1 year full time, 18-63 months flexible",Reading,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/construction-management-and-international-development/?i345d731c56213,appli programmeexplor build infrastructur project sustain deliv develop emerg economi msc construct manag intern develop programmethi interdisciplinari master ’ cours underscor complex sustain develop focus develop countri undergo rapid urbanisationwork academ school construct manag engin learn manag construct programm sustain develop also learn appli sustain develop principl integr holist way across scale – build neighbourhood citi,construct manag intern develop,univers read,read,21381.32
Counterterrorism Risk Management and Resilience MSc,Cranfield University,Cranfield Forensic Institute,"['Full Time', 'Part Time', 'Online']","OverviewThe MSc Counterterrorism, Risk Management and Resilience is a specialist course designed particularly for students working in the risk management and risk mitigation sectors. Cranfield has a long history of specialising in Defence and Security subjects and boasts unique facilities for teaching and research in these areas. This course brings together a distinctive mix of different subjects, providing students with the fundamental knowledge, core expertise and evidence-based methodological tools and approaches necessary to understand, analyse, prevent and mitigate terrorism.",October,"• MSc Full-time £11,330 • MSc Part-time £11,330 • PgDip Full-time £9,075 • PgDip Part-time £9,075 • PgCert Full-time £5,665 • PgCert Part-time £5,665  * Fees can be paid in full up front, or in equal annual installments.","PGDip,PGCert,MSc",Part-time: 2 years (PgDip and PgCert) or 3 years (MSc).,Bedford,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/counterterrorism-risk-management-and-resilience-msc/?i50d8486c57727,overviewth msc counterterror risk manag resili specialist cours design particularli student work risk manag risk mitig sector cranfield long histori specialis defenc secur subject boast uniqu facil teach research area cours bring togeth distinct mix differ subject provid student fundament knowledg core expertis evidencebas methodolog tool approach necessari understand analys prevent mitig terror,counterterror risk manag resili msc,cranfield univers,bedford,8988.88
Applied Informatics,Vytautas Magnus University,Masters Programmes,['Full Time'],"The aim of the Applied Informatics Master study programme is to prepare broad-minded highly qualified information technology (IT) specialists, capable of:",September,,"MSc,MA",2 years,Kaunas,Lithuania,On Campus,https://www.findamasters.com/masters-degrees/course/applied-informatics/?i3104d8161c56548,aim appli informat master studi programm prepar broadmind highli qualifi inform technolog specialist capabl,appli informat,vytauta magnu univers,kauna,
"Hearing, Balance and Communication MSc",University College Cork,College of Medicine and Health,['Part Time'],The MSc in Hearing Balance and Communication is the only degree of its kind in Ireland. The degree aims to provide opportunities to acquire state of the art knowledge and skills in the field of hearing and balance related difficulties. This MSc is unique in incorporating a focus on  communication and how it is affected by hearing loss across the lifespan. A mission of the programme is to engage professionals in expanding and progressing their professional capacities in order to contribute to improved care of patients and their families.,September,"The EU fee for this course is €4,630 (Year 1); €4,630 (Year 2).  The Non-EU fee for this course is €9,300 Year 1; €9,300 Year 2.",MSc,2 years part time,Cork,Ireland,On Campus,https://www.findamasters.com/masters-degrees/course/hearing-balance-and-communication-msc/?i271d8009c68554,msc hear balanc commun degre kind ireland degre aim provid opportun acquir state art knowledg skill field hear balanc relat difficulti msc uniqu incorpor focu commun affect hear loss across lifespan mission programm engag profession expand progress profession capac order contribut improv care patient famili,hear balanc commun msc,univers colleg cork,cork,8500.29
