,term,term_id
0,3d,100000
1,visualisation,100001
2,animation,100002
3,play,100003
4,role,100004
5,many,100005
6,area,100006
7,popularity,100007
8,medium,100008
9,keep,100009
10,growing,100010
11,digital,100011
12,provides,100012
13,eye-catching,100013
14,special,100014
15,effect,100015
16,21st,100016
17,century,100017
18,'s,100018
19,favourite,100019
20,film,100020
21,television,100021
22,show,100022
23,design,100023
24,also,100024
25,essential,100025
26,everyday,100026
27,work,100027
28,everything,100028
29,computer,100029
30,game,100030
31,development,100031
32,online,100032
33,virtual,100033
34,world,100034
35,industrial,100035
36,marketing,100036
37,product,100037
38,architecture,100038
39,gcu,100039
40,programme,100040
41,environment,100041
42,help,100042
43,develop,100043
44,skill,100044
45,thrive,100045
46,successful,100046
47,career,100047
48,visual,100048
49,designer,100049
50,practical,100050
51,career-focused,100051
52,oriented,100052
53,towards,100053
54,current,100054
55,industry,100055
56,need,100056
57,technology,100057
58,practice,100058
59,prior,100059
60,knowledge,100060
61,required,100061
62,goal,100062
63,pro­gramme,100063
64,would,100064
65,like,100065
66,involved,100066
67,finding,100067
68,solution,100068
69,future,100069
70,challenge,100070
71,food,100071
72,energy,100072
73,production,100073
74,climate,100074
75,change,100075
76,population,100076
77,growth,100077
78,limited,100078
79,resource,100079
80,interested,100080
81,animal,100081
82,welfare,100082
83,clean,100083
84,soil,100084
85,environmental,100085
86,issue,100086
87,newest,100087
88,method,100088
89,biological,100089
90,genetic,100090
91,engineering,100091
92,learn,100092
93,automation,100093
94,robotics,100094
95,agriculture,100095
96,join,100096
97,master,100097
98,agricultural,100098
99,science,100099
100,viikki,100100
101,campus,100101
102,find,100102
103,today,100103
104,tomorrow,100104
105,university,100105
106,helsinki,100106
107,finland,100107
108,offer,100108
109,academic,100109
110,education,100110
111,looking,100111
112,forward,100112
113,expert,100113
114,economics,100114
115,graduate,100115
116,employment,100116
117,national,100117
118,international,100118
119,market,100119
120,example,100120
121,research,100121
122,institute,100122
123,public,100123
124,sector,100124
125,business,100125
126,become,100126
127,self-employed,100127
128,entrepreneur,100128
129,optimal,100129
130,studying,100130
131,unique,100131
132,range,100132
133,subject,100133
134,offered,100134
135,upon,100135
136,graduating,100136
137,professional,100137
138,applied,100138
139,resource-focused,100139
140,field,100140
141,well,100141
142,versed,100142
143,topic,100143
144,policy,100144
145,sustainable,100145
146,security,100146
147,million,100147
148,people,100148
149,estimated,100149
150,die,100150
151,every,100151
152,year,100152
153,due,100153
154,harmful,100154
155,air,100155
156,pollution,100156
157,degradation,100157
158,quality,100158
159,leading,100159
160,cause,100160
161,premature,100161
162,mortality,100162
163,exceeding,100163
164,death,100164
165,unsafe,100165
166,drinking,100166
167,water,100167
168,malaria,100168
169,hiv,100169
170,combined,100170
171,understanding,100171
172,factor,100172
173,controlling,100173
174,emission,100174
175,processing,100175
176,fate,100176
177,pollutant,100177
178,vital,100178
179,effectively,100179
180,mitigate,100180
181,ass,100181
182,effectiveness,100182
183,analytical,100183
184,toxicology,100184
185,msc,100185
186,study,100186
187,course,100187
188,integrates,100188
189,theoretical,100189
190,aspect,100190
191,clinical,100191
192,forensic,100192
193,provide,100193
194,detailed,100194
195,comprehensive,100195
196,advanced,100196
197,application,100197
198,foundation,100198
199,exciting,100199
200,cutting-edge,100200
201,cover,100201
202,ai,100202
203,big,100203
204,data,100204
205,cybersecurity,100205
206,span,100206
207,almost,100207
208,life,100208
209,smartphone,100209
210,app,100210
211,self-driving,100211
212,assistance,100212
213,revolutionises,100213
214,safety,100214
215,efficiency,100215
216,transport,100216
217,system,100217
218,pandemic,100218
219,computer-related,100219
220,important,100220
221,requirement,100221
222,working,100222
223,remotely,100223
224,converting,100224
225,could,100225
226,problem-solving,100226
227,establish,100227
228,specialist,100228
229,tool,100229
230,technique,100230
231,creating,100231
232,intelligent,100232
233,algorithm,100233
234,software,100234
235,political,100235
236,uncertainty,100236
237,finance,100237
238,recruitment,100238
239,demand,100239
240,integral,100240
241,decision-making,100241
242,banking,100242
243,financial,100243
244,take,100244
245,beyond,100245
246,paper,100246
247,real,100247
248,giving,100248
249,insight,100249
250,put,100250
251,action,100251
252,day,100252
253,one,100253
254,bath,100254
255,first,100255
256,uk,100256
257,emphasising,100257
258,theory,100258
259,time-pressed,100259
260,opportunity,100260
261,prospect,100261
262,government,100262
263,rely,100263
264,sound,100264
265,underpin,100265
266,strategy,100266
267,success,100267
268,kick-start,100268
269,providing,100269
270,modern,100270
271,accounting,100271
272,control,100272
273,organisational,100273
274,context,100274
275,'ll,100275
276,fundamental,100276
277,corporate,100277
278,reporting,100278
279,optional,100279
280,module,100280
281,allow,100281
282,specialise,100282
283,ranging,100283
284,able,100284
285,apply,100285
286,learning,100286
287,case,100287
288,simulation,100288
289,test,100289
290,genuine,100290
291,scenario,100291
292,accountability,100292
293,management,100293
294,economic,100294
295,technical,100295
296,institutional,100296
297,explore,100297
298,importance,100298
299,information,100299
300,governance,100300
301,ethic,100301
302,global,100302
303,undergraduate,100303
304,degree,100304
305,relevant,100305
306,social,100306
307,ready,100307
308,tackle,100308
309,intellectually,100309
310,challenging,100310
311,combination,100311
312,core,100312
313,choice,100313
314,come,100314
315,away,100315
316,fully,100316
317,equipped,100317
318,choose,100318
319,go,100319
320,embark,100320
321,grounding,100321
322,distinctive,100322
323,flavour,100323
324,focus,100324
325,concept,100325
326,needed,100326
327,analysing,100327
328,offering,100328
329,critical,100329
330,relating,100330
331,strategic,100331
332,plus,100332
333,managing,100333
334,organisation,100334
335,additionally,100335
336,includes,100336
337,u,100337
338,session,100338
339,prospective,100339
340,student,100340
341,addiction,100341
342,place,100342
343,wednesday,100343
344,17th,100344
345,may,100345
346,12.45pm,100346
347,book,100347
348,postgraduate,100348
349,particular,100349
350,emphasis,100350
351,recent,100351
352,psychological,100352
353,socio-environmental,100353
354,advance,100354
355,conceptualisation,100355
356,drug,100356
357,use,100357
358,effective,100358
359,prevention,100359
360,positioned,100360
361,within,100361
362,focusing,100362
363,facilitating,100363
364,transfer,100364
365,workplace,100365
366,chemical,100366
367,leeds,100367
368,build,100368
369,learned,100369
370,already,100370
371,advancing,100371
372,continually,100372
373,evolving,100373
374,discipline,100374
375,specifically,100375
376,designed,100376
377,greater,100377
378,depth,100378
379,up-to-date,100379
380,process,100380
381,enable,100381
382,operate,100382
383,manage,100383
384,associated,100384
385,manufacturing,100385
386,plant,100386
387,whilst,100387
388,leadership,100388
389,innovation,100389
390,overview,100390
391,complementary,100391
392,curriculum,100392
393,classic,100393
394,bridge,100394
395,objective,100395
396,give,100396
397,much,100397
398,deeper,100398
399,post-graduate,100399
400,mindset,100400
401,deal,100401
402,fast-evolving,100402
403,managerial,100403
404,ability,100404
405,analyse,100405
406,complex,100406
407,influence,100407
408,early,100408
409,main,100409
410,embrace,100410
411,technological,100411
412,thanks,100412
413,new,100413
414,service,100414
415,model,100415
416,form,100416
417,minor,100417
418,entrepreneurship,100418
419,analytics,100419
420,progress,100420
421,physiotherapist,100421
422,nh,100422
423,private,100423
424,health,100424
425,care,100425
426,setting,100426
427,existing,100427
428,assessment,100428
429,analysis,100429
430,state-of-the-art,100430
431,facility,100431
432,latest,100432
433,get,100433
434,leading-edge,100434
435,training,100435
436,physiotherapy,100436
437,collaborates,100437
438,bring,100438
439,seeking,100439
440,delivered,100440
441,practising,100441
442,–,100442
443,informed,100443
444,geospatial,100444
445,modelling,100445
446,equip,100446
447,programming,100447
448,broad,100448
449,hands-on,100449
450,experience,100450
451,gain,100451
452,statistic,100452
453,computationally,100453
454,mathematically,100454
455,literate,100455
456,address,100456
457,problem,100457
458,increasing,100458
459,across,100459
460,ground,100460
461,greatest,100461
462,risk,100462
463,construction,100463
464,—,100464
465,therefore,100465
466,qualified,100466
467,geotechnical,100467
468,ever-growing,100468
469,internationally,100469
470,reduce,100470
471,optimise,100471
472,structure,100472
473,ensure,100473
474,safe,100474
475,resilient,100475
476,underlying,100476
477,philosophy,100477
478,brings,100478
479,together,100479
480,expertise,100480
481,real-world,100481
482,including,100482
483,shallow,100483
484,deep,100484
485,soil-structure,100485
486,interaction,100486
487,source,100487
488,geotechnics,100488
489,slope,100489
490,stabilisation,100490
491,meet,100491
492,wish,100492
493,enter,100493
494,background,100494
495,operation,100495
496,planning,100496
497,supply,100497
498,chain,100498
499,ecological,100499
500,maker,100500
501,biodiversity,100501
502,crisis,100502
503,require,100503
504,appreciation,100504
505,ethical,100505
506,way,100506
507,conserving,100507
508,natural,100508
509,empowering,100509
510,healthcare,100510
511,leader,100511
512,thinker,100512
513,multidimensional,100513
514,nature,100514
515,determinant,100515
516,previously,100516
517,adopts,100517
518,interdisciplinary,100518
519,approach,100519
520,going,100520
521,traditional,100521
522,invite,100522
523,consider,100523
524,wide,100524
525,interrelated,100525
526,socioeconomic,100526
527,policymaking,100527
528,sustainability,100528
529,evolve,100529
530,set,100530
531,shape,100531
532,agenda,100532
533,ecosystem,100533
534,whether,100534
535,provider,100535
536,﻿the,100536
537,pioneering,100537
538,understand,100538
539,significant,100539
540,critically,100540
541,reflect,100541
542,extended,100542
543,piece,100543
544,end,100544
545,history,100545
546,connection,100546
547,different,100547
548,part,100548
549,draw,100549
550,comparison,100550
551,time,100551
552,space,100552
553,culture,100553
554,strengthen,100554
555,independent,100555
556,researcher,100556
557,prepare,100557
558,increasingly,100558
559,globalised,100559
560,major,100560
561,stem,100561
562,collaboration,100562
563,local,100563
564,archive,100564
565,museum,100565
566,library,100566
567,allowing,100567
568,combine,100568
569,historical,100569
570,peacebuilding,100570
571,look,100571
572,mutually,100572
573,reinforcing,100573
574,link,100574
575,peace,100575
576,society,100576
577,especially,100577
578,developing,100578
579,nation,100579
580,blended,100580
581,face-to-face,100581
582,support,100582
583,wholly,100583
584,applicable,100584
585,huge,100585
586,significance,100586
587,outcome,100587
588,effort,100588
589,impact,100589
590,refine,100590
591,communication,100591
592,pr,100592
593,advertising,100593
594,uca,100594
595,ma/msc,100595
596,enhance,100596
597,select,100597
598,specialism,100598
599,taught,100599
600,school,100600
601,creative,100601
602,personal,100602
603,interest,100603
604,springboard,100604
605,dream,100605
606,eight,100606
607,cosmetic,100607
608,beauty,100608
609,fashion,100609
610,fine,100610
611,art,100611
612,lifestyle,100612
613,good,100613
614,luxury,100614
615,music,100615
616,mental,100616
617,jointly,100617
618,run,100618
619,king,100619
620,college,100620
621,london,100621
622,hygiene,100622
623,tropical,100623
624,medicine,100624
625,surrounding,100625
626,acquire,100626
627,implement,100627
628,evaluate,100628
629,low,100629
630,conduct,100630
631,constitutes,100631
632,excellent,100632
633,preparation,100633
634,agency,100634
635,perspective,100635
636,contribute,100636
637,biggest,100637
638,facing,100638
639,include,100639
640,war,100640
641,conflict,100641
642,inequality,100642
643,used,100643
644,respond,100644
645,improving,100645
646,wellbeing,100646
647,individual,100647
648,military,100648
649,threat,100649
650,defined,100650
651,matter,100651
652,best,100652
653,20th,100653
654,quickly,100654
655,replaced,100655
656,re-emerging,100656
657,examine,100657
658,conventional,100658
659,unconventional,100659
660,contemporary,100660
661,description,100661
662,face,100662
663,urgent,100663
664,emergency,100664
665,damage,100665
666,pressing,100666
667,transform,100667
668,even,100668
669,considerate,100669
670,align,100670
671,mandate,100671
672,mission,100672
673,responsibility,100673
674,bps-accredited,100674
675,psychology,100675
676,ulster,100676
677,stage,100677
678,aspiring,100678
679,psychologist,100679
680,hold,100680
681,conversion,100681
682,intended,100682
683,seek,100683
684,awareness,100684
685,illness,100685
686,pursue,100686
687,msc/mres,100687
688,train,100688
689,doctoral,100689
690,throughout,100690
691,transforming,100691
692,rise,100692
693,machine,100693
694,adoption,100694
695,surgical,100695
696,availability,100696
697,medical,100697
698,image,100698
699,opened,100699
700,several,100700
701,domain,100701
702,key,100702
703,program,100703
704,advantage,100704
705,maximise,100705
706,potential,100706
707,bioinformatics,100707
708,develops,100708
709,combining,100709
710,informatics,100710
711,statistics/mathematics,100711
712,leveraging,100712
713,efficiently,100713
714,biology,100714
715,bio-informatics,100715
716,aim,100716
717,strong,100717
718,interpret,100718
719,vast,100719
720,amount,100720
721,generated,100721
722,high-throughput,100722
723,'omics,100723
724,protein,100724
725,nucleic,100725
726,acid,100726
727,bioinnovation,100727
728,aberystwyth,100728
729,access,100729
730,thinking,100730
731,around,100731
732,circular,100732
733,economy,100733
734,ideal,100734
735,anyone,100735
736,integrating,100736
737,ethos,100737
738,agrifood,100738
739,aimed,100739
740,welsh,100740
741,via,100741
742,distance,100742
743,continuing,100743
